Type Ligne;Identifiant de l'élément;Structure;Type de l'élément;Statut de l'élément;Nom base français;Nom base anglais;Nom base espagnol;Nom attribut français;Nom attribut anglais;Nom attribut espagnol;Nom frontière français;Nom frontière anglais;Nom frontière espagnol;Code de la catégorie;Tags français;Tags anglais;Tags espagnol;Unité français;Unité anglais;Unité espagnol;Contributeur;Autres Contributeurs;Programme;Url du programme;Source;Localisation géographique;Sous-localisation géographique français;Sous-localisation géographique anglais;Sous-localisation géographique espagnol;Date de création;Date de modification;Période de validité;Incertitude;Réglementations;Transparence;Qualité;Qualité TeR;Qualité GR;Qualité TiR;Qualité C;Qualité P;Qualité M;Commentaire français;Commentaire anglais;Commentaire espagnol;Type poste;Nom poste français;Nom poste anglais;Nom poste espagnol;Total poste non décomposé;CO2f;CH4f;CH4b;N2O;Code gaz supplémentaire 1;Valeur gaz supplémentaire 1;Code gaz supplémentaire 2;Valeur gaz supplémentaire 2;Code gaz supplémentaire 3;Valeur gaz supplémentaire 3;Code gaz supplémentaire 4;Valeur gaz supplémentaire 4;Code gaz supplémentaire 5;Valeur gaz supplémentaire 5;Autres GES;CO2b
Elément;34052;élément non décomposé;Facteur d'émission;Valide générique;"""	Salade César au poulet (salade verte""";Caesar's salad (salad;;fromage, croûtos, sauce);chicken, croûtons, sauce);;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Salades composées et crudités;"Agribalyse,""	Salade César au poulet (salade verte,entrées et plats composés""";Agribalyse,,starters and mixed dishes,Caesar's salad (salad;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;2,81;;;;;;;;;;;;;;;;
Elément;33558;élément non décomposé;Facteur d'émission;Valide générique;"""Brioche fourrée crème pâtissière (type """"chinois"""")""";Brioche;;préemballée;filled with custard (Chinese brioche type), prepacked;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries;"viennoiseries"",Agribalyse,produits céréaliers,""Brioche fourrée crème pâtissière (type """"chinois"""")";Agribalyse,Brioche,cereals products,pastries;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;3,83;;;;;;;;;;;;;;;;
Elément;32682;élément non décomposé;Facteur d'émission;Valide générique;"""Goûter sec fourré (""""sandwiché"""") parfum chocolat""";Biscuit (cookie);;;snack w chocolate filling;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits;"""Goûter sec fourré (""""sandwiché"""") parfum chocolat,Agribalyse,produits céréaliers,biscuits sucrés""";Agribalyse,cereals products,sweet cookies,Biscuit (cookie);;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;7,55;;;;;;;;;;;;;;;;
Elément;32683;élément non décomposé;Facteur d'émission;Valide générique;"""Goûter sec fourré (""""sandwiché"""") parfum fruits""";Biscuit (cookie);;;snack with fruits filling;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits;"""Goûter sec fourré (""""sandwiché"""") parfum fruits,Agribalyse,produits céréaliers,biscuits sucrés""";Agribalyse,cereals products,sweet cookies,Biscuit (cookie);;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;3,4;;;;;;;;;;;;;;;;
Elément;32681;élément non décomposé;Facteur d'émission;Valide générique;"""Goûter sec fourré (""""sandwiché"""") parfum lait ou vanille""";Biscuit (cookie);;;snack with dairy or vanilla filling;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits;"biscuits sucrés"",Agribalyse,produits céréaliers,""Goûter sec fourré (""""sandwiché"""") parfum lait ou vanille";Agribalyse,cereals products,sweet cookies,Biscuit (cookie);;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;7,55;;;;;;;;;;;;;;;;
Elément;33358;élément non décomposé;Facteur d'émission;Valide générique;"""Haricot mungo germé ou pousse de """"soja""""""";Mung bean;;appertisé, égoutté;sprouted or soy spouts, canned, drained;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes;"""Haricot mungo germé ou pousse de """"soja"""",légumes cuits"",Agribalyse,fruits,légumes,légumineuses et oléagineux";legumes and oilseeds,Mung bean,cooked vegetables,Agribalyse,fruits,vegetables;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;1,9;;;;;;;;;;;;;;;;
Elément;33308;élément non décomposé;Facteur d'émission;Valide générique;"""Haricot mungo germé ou pousse de """"soja""""""";Mung bean;;cru;sprouted or soy spouts, raw;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes;"""Haricot mungo germé ou pousse de """"soja"""",légumes crus"",Agribalyse,fruits,légumes,légumineuses et oléagineux";legumes and oilseeds,raw vegetables,Mung bean,Agribalyse,fruits,vegetables;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;AGRIBALYSE;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;04/03/2021;31/12/2023;;;5;;4;;;;;;;;;;;;;0,756;;;;;;;;;;;;;;;;
Elément;20620;élément non décomposé;Facteur d'émission;Valide générique;1 achat sur le web;1 web purchase;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;02/04/2020;;100;;;;0;0;0;0;0;0;;;;;;;;7,55E-03;;;;;;;;;;;;;;;;
Elément;20615;élément non décomposé;Facteur d'émission;Valide générique;1 mail;1 email;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;4,00E-03;;;;;;;;;;;;;;;;
Elément;20616;élément non décomposé;Facteur d'émission;Valide générique;1 mail avec pièce jointe;1 email with attached document;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;0,035;;;;;;;;;;;;;;;;
Elément;20618;élément non décomposé;Facteur d'émission;Valide générique;1 requête de navigation web;1 web navigation;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;1,01E-03;;;;;;;;;;;;;;;;
Elément;20619;élément non décomposé;Facteur d'émission;Valide générique;1 requête internet;1 web request;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;6,65E-03;;;;;;;;;;;;;;;;
